Model,WT,S224N
1,0,0
2,0.34951,0.34072
3,0.49841,0.53237
4,0.65541,0.58137
5,0.72756,0.69521
6,0.8508,0.80176
7,0.95506,0.85724
8,1.04828,0.94927
9,1.16145,1.06086
10,1.26778,1.08868
11,1.37143,1.17968
12,1.43064,1.26625
13,1.43337,1.33325
14,1.49157,1.40031
15,1.55759,1.53356
16,1.63098,1.53214
17,1.72319,1.56664
18,1.74203,1.62725
19,1.77288,1.65004
20,1.82333,1.71861
21,1.90917,1.7883
22,1.95952,1.80693
23,1.99869,1.83978
24,2.045,1.86212
25,2.12214,1.95144
26,2.1622,1.94495
27,2.21725,2.00916
28,2.24683,2.02629
29,2.27163,2.10842
30,2.40146,2.16164
31,2.445,2.24389
32,2.50842,2.25799
33,2.54244,2.22612
34,2.58169,2.27668
35,2.59568,2.37874
36,2.59047,2.30439
37,2.58773,2.38707
38,2.5698,2.44007
39,2.63168,2.39449
40,2.6483,2.41186
41,2.75864,2.50243
42,2.80866,2.61453
43,2.86929,2.70504
44,2.91028,2.83135
45,2.87725,2.88022
46,2.9784,2.92967
47,3.0361,3.00335
48,3.06745,3.04485
49,3.09452,3.00478
50,3.08205,3.07026
51,3.18778,3.10512
52,3.15802,2.98317
53,3.29077,3.00917
54,3.24748,2.89803
55,3.22568,2.96113
56,3.25175,3.02509
57,3.24737,3.00762
58,3.28022,2.89685
59,3.29991,2.98491
60,3.31326,3.06146
61,3.33429,3.10353
62,3.3268,3.0459
63,3.36371,2.9714
64,3.39039,3.03277
65,3.34717,3.12035
66,3.40783,3.17476
67,3.40163,3.08536
68,3.47082,3.00164
69,3.55755,3.0549
70,3.60938,3.13315
71,3.61914,3.05685
72,3.5956,3.15252
73,3.60409,3.12283
74,3.74363,3.09829
75,3.80406,3.02454
76,3.9771,2.9431
77,4.07387,2.90065
78,4.10799,2.89751
79,4.20664,2.90476
80,4.24826,2.88117
81,4.32406,2.8745
82,4.38027,2.89518
83,4.47119,2.9434
84,4.59432,2.94572
85,4.58087,2.928
86,4.68289,2.95313
87,4.69527,2.96578
88,4.81584,3.00756
89,4.9125,3.01711
90,4.9014,3.03521
91,5.00452,2.99231
92,5.10552,2.97453
93,5.05556,3.00033
94,5.08519,3.03345
95,5.19957,3.02135
96,5.16216,3.02585
97,5.27789,2.9915
98,5.31034,3.02156
99,5.43969,2.99618
100,5.53604,3.05878
101,5.58718,3.10114
102,5.62172,3.06026
103,5.70597,3.12327
104,5.67132,3.05108
105,5.71788,3.10449
106,5.74962,3.08524
107,5.78547,3.13035
108,5.83707,3.11937
109,5.82624,3.07754
110,5.7729,3.07192
111,5.82544,3.09541
112,5.783,3.06054
113,5.75294,3.12728
114,5.84313,3.17851
115,5.90908,3.13555
116,5.92206,3.17736
117,5.96844,3.18607
118,5.96096,3.19701
119,5.96226,3.17608
120,5.84818,3.18521
121,5.76841,3.18373
122,5.89411,3.19995
123,5.91372,3.24502
124,6.03414,3.29413
125,6.05894,3.32547
126,6.09262,3.26524
127,6.17178,3.27399
128,6.14951,3.3248
129,6.2431,3.38746
130,6.29328,3.38659
131,6.34579,3.41757
132,6.35178,3.40703
133,6.33307,3.40427
134,6.36462,3.41186
135,6.3798,3.35254
136,6.34775,3.35945
137,6.29607,3.35019
138,6.22357,3.36073
139,6.18532,3.30798
140,6.20849,3.31708
141,6.23943,3.31467
142,6.25945,3.30389
143,6.30031,3.28967
144,6.38784,3.29655
145,6.46983,3.30377
146,6.46973,3.3629
147,6.41216,3.31762
148,6.34535,3.2885
149,6.34606,3.31887
150,6.45027,3.37505
151,6.39952,3.38189
152,6.36616,3.32567
153,6.34103,3.35544
154,6.36079,3.43962
155,6.33334,3.46679
156,6.29117,3.4267
157,6.3401,3.46766
158,6.41531,3.42418
159,6.42294,3.47033
160,6.45501,3.58297
161,6.49827,3.60423
162,6.43052,3.65703
163,6.4053,3.73979
164,6.42685,3.76902
165,6.38763,3.73968
166,6.39092,3.71378
167,6.40021,3.6191
168,6.34877,3.59597
169,6.3468,3.59295
170,6.35298,3.59049
171,6.44533,3.52085
172,6.35655,3.57815
173,6.42334,3.57955
174,6.36245,3.56358
175,6.38579,3.55733
176,6.29607,3.66187
177,6.31956,3.64222
178,6.3277,3.53366
179,6.27981,3.49723
180,6.30249,3.48382
181,6.4,3.53039
182,6.4884,3.47703
183,6.56268,3.47158
184,6.54015,3.43896
185,6.49134,3.42078
186,6.57927,3.39156
187,6.54461,3.37545
188,6.63739,3.36605
189,6.68453,3.31815
190,6.7334,3.27762
191,6.71806,3.28935
192,6.63458,3.24388
193,6.67816,3.22657
194,6.69884,3.18843
195,6.7106,3.1752
196,6.71597,3.18641
197,6.64025,3.26552
198,6.64388,3.29892
199,6.62904,3.23708
200,6.71976,3.25342
201,6.76335,3.23101
202,6.82556,3.28067
203,6.89775,3.32279
204,6.874,3.37422
205,6.90099,3.43124
206,6.98229,3.3778
207,6.98418,3.42788
208,7.06701,3.43123
209,6.97972,3.50797
210,7.03441,3.46693
211,7.12591,3.43524
212,7.08189,3.44831
213,6.96132,3.51019
214,6.94446,3.48943
215,6.9248,3.48194
216,6.91101,3.46091
217,6.91534,3.42345
218,6.94856,3.37335
219,6.89454,3.34865
220,6.82609,3.38129
221,6.86227,3.38179
222,6.91709,3.37636
223,6.90566,3.43627
224,6.85965,3.38394
225,6.94709,3.34303
226,7.03622,3.35069
227,7.11965,3.34622
228,7.00469,3.37621
229,7.02229,3.41685
230,6.93877,3.42885
231,6.99725,3.42481
232,7.07833,3.41322
233,6.96378,3.42284
234,6.93412,3.46395
235,6.86154,3.44903
236,6.90574,3.48007
237,6.95471,3.49321
238,6.94328,3.4447
239,6.89521,3.48102
240,6.76615,3.51278
241,6.72489,3.54373
242,6.74337,3.52391
243,6.72308,3.49067
244,6.63883,3.564
245,6.69726,3.57461
246,6.70878,3.60928
247,6.60484,3.61937
248,6.65165,3.66278
249,6.6913,3.58889
250,6.78246,3.61598
251,6.75019,3.61025
252,6.86302,3.58454
253,6.82523,3.53364
254,6.75769,3.59399
255,6.73058,3.61424
256,6.65781,3.62538
257,6.66763,3.60688
258,6.60723,3.55466
259,6.5503,3.58272
260,6.5585,3.57368
261,6.56792,3.56468
262,6.59818,3.63687
263,6.58166,3.62571
264,6.64603,3.62947
265,6.58001,3.63489
266,6.62995,3.62043
267,6.65671,3.64636
268,6.70653,3.68597
269,6.69117,3.70818
270,6.63672,3.64336
271,6.65602,3.62227
272,6.58764,3.63781
273,6.61106,3.65799
274,6.62174,3.63852
275,6.69048,3.65827
276,6.70875,3.64592
277,6.71821,3.622
278,6.7045,3.60394
279,6.62957,3.64636
280,6.5614,3.62662
281,6.58142,3.62711
282,6.56655,3.7078
283,6.60969,3.68745
284,6.61095,3.7317
285,6.59303,3.7677
286,6.5664,3.70612
287,6.52992,3.72809
288,6.4974,3.69446
289,6.51224,3.71546
290,6.5008,3.70998
291,6.46289,3.73587
292,6.43334,3.78095
293,6.45653,3.85064
294,6.53352,3.85687
295,6.56305,3.83669
296,6.51597,3.80583
297,6.44897,3.83044
298,6.35495,3.83913
299,6.27192,3.81342
300,6.23489,3.83316
301,6.25814,3.83941
302,6.30812,3.89405
303,6.23529,3.93942
304,6.22704,3.89527
305,6.26916,3.91726
306,6.33201,3.92969
307,6.32536,3.91325
