Model   RMSD-WT RMSD-S90L
1.00    0.00000 0.00000
2.00    0.43143 0.44256
3.00    0.49008 0.49514
4.00    0.72488 0.65719
5.00    0.68442 0.91706
6.00    0.72711 1.21824
7.00    0.80762 1.15121
8.00    0.85098 1.10036
9.00    1.03104 1.15747
10.00   0.97788 1.24651
11.00   1.06738 1.27404
12.00   1.09912 1.38892
13.00   1.17637 1.46101
14.00   1.37080 1.55929
15.00   1.43139 1.57545
16.00   1.53250 1.56172
17.00   1.74434 1.58425
18.00   1.79505 1.60108
19.00   1.80767 1.59589
20.00   1.83945 1.62681
21.00   1.81721 1.73032
22.00   1.85753 1.75833
23.00   1.96998 1.84252
24.00   2.05273 1.92212
25.00   2.12061 1.97750
26.00   2.33725 2.03117
27.00   2.57634 2.11062
28.00   2.73641 2.09248
29.00   2.89599 2.18554
30.00   2.78398 2.22519
31.00   2.74635 2.24348
32.00   2.59655 2.29156
33.00   2.45789 2.33193
34.00   2.69031 2.36211
35.00   2.71829 2.42540
36.00   2.94964 2.44120
37.00   2.92816 2.55886
38.00   2.93300 2.59283
39.00   3.02373 2.67544
40.00   3.04299 2.80697
41.00   3.06288 2.91605
42.00   3.10240 2.88159
43.00   3.17307 2.92926
44.00   3.20204 2.98488
45.00   3.24627 3.04073
46.00   3.28683 3.04083
47.00   3.37891 3.12358
48.00   3.42588 3.24057
49.00   3.51511 3.19461
50.00   3.56151 3.20310
51.00   3.60632 3.23098
52.00   3.64029 3.35684
53.00   3.68424 3.32594
54.00   3.73458 3.35517
55.00   3.78463 3.35288
56.00   3.84022 3.34309
57.00   3.90954 3.25458
58.00   3.95223 3.26049
59.00   4.02335 3.21355
60.00   4.09407 3.20534
61.00   4.13326 3.21291
62.00   4.18580 3.14059
63.00   4.26507 3.16257
64.00   4.23698 3.22966
65.00   4.34643 3.37054
66.00   4.40770 3.44347
67.00   4.52128 3.50209
68.00   4.59819 3.54014
69.00   4.66189 3.49235
70.00   4.72557 3.42186
